股票,公司亮点,主营业务,收入,净利润,毛利率
深圳能源,公司亮点：主营电力、燃气、蒸汽的开发和购销业务的国资控股企业,"主营业务：各种常规能源和新能源的开发、生产、购销,以及城市固体废物处理、",收入：304.15亿元同比增长3.61%+,净利润：21.25亿元同比下降29.79%+,毛利率：22.03%+
广西能源,"公司亮点：拥有完整的发、供电网络,具备""厂网合一""的企业",主营业务：电力生产和销售。,收入：39.32亿元同比下降76.48%+,净利润：0.63亿元同比增长3704.04%+,毛利率：25.40%+
皖能电力,公司亮点：主营火力发电的安徽国资控股企业,主营业务：电力、节能及相关项目投资、经营。,收入：225.41亿元同比增长11.52%+,净利润：15.83亿元同比增长21.29%+,毛利率：12.27%+
华电国际,"公司亮点：山东省装机规模最大的独立发电公司,拥有多种类型发电机组",主营业务：发电、供热、煤炭销售及其他相关业务。,收入：1129.94亿元同比下降3.57%+,净利润：57.03亿元同比增长26.11%+,毛利率：8.78%+
嘉泽新能,公司亮点：集风力、光伏发电、智能微电网的于一体的新能源企业,主营业务：可再生能源发电、售电及其配套服务的综合性新能源电力。,收入：24.22亿元同比增长0.79%+,净利润：6.30亿元同比下降21.53%+,毛利率：61.38%+
湖北能源,公司亮点：聚焦电力、煤炭、天然气三大主业的省属大型企业,主营业务：能源投资、开发与管理。,收入：154.07亿元同比增长6.73%+,净利润：2.32元+总股本:65.00亿股,毛利率：29.24%+
上海电力,公司亮点：上海地区最大的电力生产企业,主营业务：火电、风电、光伏、氢能、综合智慧能源、现代能源的供应和服务。,收入：427.34亿元同比增长0.78%+,净利润：2.52元+总股本:28.17亿股,毛利率：23.47%+
粤电力A,公司亮点：广东省最大的电力上市公司,"主营业务：电力项目的投资、建设和经营管理,电力的生产和销售业务。",收入：571.59亿元同比下降4.27%+,净利润：9.64亿元同比下降1.07%+,毛利率：13.36%+
通宝能源,"公司亮点：国内大型综合能源企业之一,山西省内拥有完善的220千伏电网结构",主营业务：火力发电业务、配电业务。,收入：78.62亿元同比下降2.85%+,净利润：3.84亿元同比下降28.73%+,毛利率：8.30%+
宝新能源,公司亮点：新能源电力细分行业龙头,主营业务：新能源发电、金融投资。,收入：61.06亿元同比下降20.71%+,净利润：5.92亿元同比下降8.19%+,毛利率：15.21%+
中闽能源,公司亮点：福建省最早介入风电项目前期工作和开发建设的风电企业之一,主营业务：风力发电、光伏发电、生物质发电等新能源项目的投资开发及建设运,收入：10.95亿元同比下降0.9%+,净利润：4.09亿元同比增长6.34%+,毛利率：53.91%+
电投能源,公司亮点：煤炭销售在东北褐煤企业中已经处于优势地位,主营业务：生产销售煤炭、铝、火电及光伏风电新能源发电等业务。,收入：218.10亿元同比增长10.54%+,净利润：44.00亿元同比增长22.73%+,毛利率：36.45%+
京能电力,"公司亮点：北京地区最大的火力发电企业,环保和发电效率处于行业领先地位","主营业务：以燃煤火力发电和供热为主,同时涉及综合能源服务、煤电联营等项",收入：250.04亿元同比增长5.73%+,净利润：14.15亿元同比增长70.79%+,毛利率：11.02%+
太阳能,公司亮点：中国国内装机容量最大的光伏企业,"主营业务：太阳能光伏电站的投资运营,太阳能光伏电池组件的生产销售。",收入：47.73亿元同比下降25.93%+,净利润：12.91亿元同比下降10.95%+,毛利率：48.44%+
长江电力,"公司亮点：中国综合实力最优质的电力企业,运行管理三峡、葛洲坝等电站",主营业务：大型水电运营。,收入：841.98亿元同比增长7.75%+,净利润：325.20亿元同比增长19.36%+,毛利率：未公布+
国电电力,公司亮点：高效火电和清洁能源项目开发,主营业务：电力、热力生产及销售。,收入：1338.62亿元同比下降2.79%+,净利润：1.71元+总股本:178.36亿,毛利率：14.78%+
黔源电力,公司亮点：贵州地区主营水力、火力发电站(厂)的开发、建设与经营管理的企业,主营业务：水力发电站的开发、建设与经营管理。,收入：14.66亿元同比下降5.58%+,净利润：2.65亿元同比下降3.88%+,毛利率：55.78%+
华电能源,"公司亮点：形成发电、供热、煤炭、工程""四位一体""产业格局",主营业务：销售电力产品和热力产品。,收入：132.68亿元同比下降2.05%+,净利润：4.53亿元同比增长800.92%+,毛利率：22.05%+
中国核电,公司亮点：大型商用核电站的运营商,主营业务：电力(包括核能发电与风、光发电)销售业务、核电相关技术服务与,收入：569.86亿元同比增长1.6%+每,净利润：89.34亿元同比下降4.22%+,毛利率：47.26%+
内蒙华电,"公司亮点：以火力发电、供热为主,兼顾部分风力发电及煤炭业务",主营业务：火力发电、风力发电、其他新能源发电、煤炭资源开采及蒸汽、热水,收入：165.83亿元同比下降2.36%+,净利润：24.69亿元同比增长13.08%+,毛利率：22.19%+
建投能源,"公司亮点：河北国资委旗下,河北省最大的独立发电公司,90%以上机组为热电",主营业务：投资、建设、经营管理以电力生产为主的能源项目。,收入：157.71亿元同比增长18.86%+,净利润：1.69元+总股本:18.09亿股,毛利率：15.27%+
宁波能源,"公司亮点：宁波国资委旗下,宁波市最大的公用热电生产企业","主营业务：热电联产、抽水蓄能、生物质发电、储能和综合能源服务,以及能源、",收入：30.88亿元同比下降36.18%+,净利润：1.97亿元同比下降22.1%+,毛利率：12.69%+
龙源电力,公司亮点：全球最大风电运营商,主营业务：风力、光伏发电。,收入：370.70亿元同比下降2.58%+,净利润：63.45亿元同比增长0.66%+,毛利率：37.55%+
韶能股份,"公司亮点：公司装机规模位居全国前列,单个发电项目装机规模全国第一",主营业务：能源(电力、供热、供汽)、生态植物纤维制品、精密(智能)制造,收入：33.63亿元同比下降0.96%+,净利润：1.97亿元同比增长201.34%+,毛利率：20.57%+
豫能控股,公司亮点：火电装机容量位居河南省第二位,主营业务：电力产品的生产和销售,收入：93.89亿元同比增长6.92%+,净利润：-0.89亿元同比增长84.53%+,毛利率：7.48%+
浙江新能,公司亮点：控股股东浙能集团是浙江省能源产业门类最全、电力装机容量最大的,主营业务：水力发电、光伏发电、风力发电等可再生能源项目的投资、开发、建,收入：39.16亿元同比增长12.07%+,净利润：6.44亿元同比增长15.93%+,毛利率：50.51%+
福能股份,"公司亮点：大力发展新型清洁能源发电,做强做大热电联产业务",主营业务：电力、热力生产和销售。,收入：104.85亿元同比增长1.22%+,净利润：17.73亿元同比增长8.38%+,毛利率：21.99%+
晋控电力,"公司亮点：山西省最大的煤电企业,同时有光伏、风力发电业务",主营业务：电力产品和热力产品的生产销售及服务。,收入：118.77亿元同比下降21.38%+,净利润：-3.06亿元同比下降155.06%+,毛利率：6.46%+
