股票,公司亮点,主营业务,收入,净利润,毛利率
海格通信,公司亮点：从事军用通信设备、导航设备研制的国资控股企业,主营业务：无线通信领域、北斗导航领域、航空航天领域、数智生态领域。,收入：49.20亿元同比下降23.71%+,净利润：None,毛利率：28.79%+
中兴通讯,公司亮点：全球领先的综合性通信制造商、通信解决方案提供商之一,"主营业务：为客户提供满意的ICT产品及解决方案,集①设计、开发、生产、销售",收入：1212.99亿元同比下降2.38%+,净利润：8.34元+总股本:47.84亿股,毛利率：37.91%+
楚天龙,公司亮点：国内最具规模的智能卡及其综合安全解决方案的提供商之一,主营业务：嵌入式安全产品、智能硬件等产品的研发、生产和销售。,收入：6.95亿元同比下降27.02%+,净利润：-0.28亿元同比下降138.55%+,毛利率：28.86%+
拓维信息,公司亮点：以教育科技、软件服务、移动游戏为主营业务的互联网公司,主营业务：软件服务与解决方案、AI行业大模型与行业应用、开源鸿蒙行业发行,收入：29.45亿元同比增长57.26%+,净利润：None,毛利率：15.94%+
恒为科技,公司亮点：国产自主可控硬件、软件和系统级技术能力上均达到了领先水平,主营业务：智能系统解决方案的研发、销售与服务。,收入：8.81亿元同比增长76.76%+,净利润：0.78亿元同比增长145.87%+,毛利率：31.88%+
实达集团,"公司亮点：构建""移动互联+物联""战略版图,助力行业物联网应用加速落地",主营业务：大数据业务、物联网周界安防业务。,收入：0.63亿元同比下降69.45%+,净利润：0.37亿元同比增长98.3%+,毛利率：45.83%+
浪潮信息,公司亮点：中国最大的服务器制造商和服务器解决方案提供商,主营业务：服务器等云计算基础设施产品的研发、生产、销售。,收入：1147.67亿元同比增长74.24%+,净利润：22.92亿元同比增长28.55%+,毛利率：6.85%+
启明信息,"公司亮点：中国一汽集团旗下,拥有国内第一家自研汽车工业互联网平台",主营业务：企业数字管理、创新运营服务和智能汽车电子。,收入：4.53亿元同比下降43.2%+,净利润：-0.33亿元同比下降151.59%+,毛利率：22.56%+
恒银科技,公司亮点：国内领先的以金融自助设备为核心的智慧银行解决方案提供商,主营业务：金融智能终端研发、生产、销售及服务。,收入：2.57亿元同比下降14.68%+,净利润：-0.36亿元同比增长43.18%+,毛利率：-7.70%+
深桑达A,"公司亮点：中国电子集团旗下,洁净室净化工程级别最高已达到国际领先标准,",主营业务：数字与信息服务业务、高科技产业工程服务、数字供热与新能源服务,收入：484.22亿元同比增长25.21%+,净利润：-1.27亿元同比增长53.07%+,毛利率：9.13%+
中新赛克,公司亮点：信息网络安全与数据应用领域卓越的整体解决方案提供商,主营业务：网络可视化基础架构、网络内容安全、大数据运营产品等产品的研发,收入：6.58亿元同比增长0.8%+,净利润：0.60亿元同比下降47.55%+,毛利率：74.93%+
